# 2theta y_obs y_calc y_diff
2.901173999999999964e+01 2.894000000000000000e+03 2.929510437691782499e+03 -3.551043769178249931e+01
2.902844999999999942e+01 2.856000000000000000e+03 2.925152918095513996e+03 -6.915291809551399638e+01
2.904515999999999920e+01 2.793000000000000000e+03 2.920885152199690765e+03 -1.278851521996907650e+02
2.906186999999999898e+01 2.816000000000000000e+03 2.916706630187328301e+03 -1.007066301873283010e+02
2.907857999999999876e+01 2.773000000000000000e+03 2.912616907798184002e+03 -1.396169077981840019e+02
2.909530000000000172e+01 2.936000000000000000e+03 2.908613241586735967e+03 2.738675841326403315e+01
2.911201000000000150e+01 2.825000000000000000e+03 2.904700117868516827e+03 -7.970011786851682700e+01
2.912872000000000128e+01 2.977000000000000000e+03 2.900874889830556185e+03 7.612511016944381481e+01
2.914543000000000106e+01 2.765000000000000000e+03 2.897137412797233083e+03 -1.321374127972330825e+02
2.916214000000000084e+01 2.912000000000000000e+03 2.893487628129404584e+03 1.851237187059541611e+01
2.917885000000000062e+01 2.881000000000000000e+03 2.889925568549408581e+03 -8.925568549408581021e+00
2.919556000000000040e+01 2.916000000000000000e+03 2.886451363979480448e+03 2.954863602051955240e+01
2.921227000000000018e+01 2.820000000000000000e+03 2.883065247948909928e+03 -6.306524794890992780e+01
2.922898999999999958e+01 2.847000000000000000e+03 2.879765617716201177e+03 -3.276561771620117725e+01
2.924569999999999936e+01 2.883000000000000000e+03 2.876556883033717895e+03 6.443116966282104841e+00
2.926240999999999914e+01 2.885000000000000000e+03 2.873437633476697101e+03 1.156236652330289871e+01
2.927911999999999892e+01 2.838000000000000000e+03 2.870408594879851535e+03 -3.240859487985153464e+01
2.929582999999999871e+01 2.903000000000000000e+03 2.867470639729784125e+03 3.552936027021587506e+01
2.931253999999999849e+01 2.892000000000000000e+03 2.864624798604539137e+03 2.737520139546086284e+01
2.932924999999999827e+01 2.884000000000000000e+03 2.861872272825215532e+03 2.212772717478446793e+01
2.934596000000000160e+01 2.817000000000000000e+03 2.859214448466405429e+03 -4.221444846640542892e+01
2.936268000000000100e+01 2.859000000000000000e+03 2.856651408133689529e+03 2.348591866310471232e+00
2.937939000000000078e+01 2.894000000000000000e+03 2.854188022540727161e+03 3.981197745927283904e+01
2.939610000000000056e+01 2.900000000000000000e+03 2.851824770573272872e+03 4.817522942672712816e+01
2.941281000000000034e+01 2.991000000000000000e+03 2.849563951130818623e+03 1.414360488691813771e+02
2.942952000000000012e+01 2.944000000000000000e+03 2.847408145070233786e+03 9.659185492976621390e+01
2.944622999999999990e+01 3.023000000000000000e+03 2.845360241848345140e+03 1.776397581516548598e+02
2.946293999999999969e+01 2.878000000000000000e+03 2.843423469343931174e+03 3.457653065606882592e+01
2.947964999999999947e+01 2.846000000000000000e+03 2.841601427297737700e+03 4.398572702262299572e+00
2.949636999999999887e+01 2.921000000000000000e+03 2.839897141964878756e+03 8.110285803512124403e+01
2.951307999999999865e+01 2.895000000000000000e+03 2.838317115212659246e+03 5.668288478734075397e+01
2.952978999999999843e+01 2.891000000000000000e+03 2.836865252366962068e+03 5.413474763303793225e+01
2.954650000000000176e+01 2.832000000000000000e+03 2.835547067329994661e+03 -3.547067329994661122e+00
2.956321000000000154e+01 2.878000000000000000e+03 2.834368688351548371e+03 4.363131164845162857e+01
2.957992000000000132e+01 2.868000000000000000e+03 2.833336927302171262e+03 3.466307269782873846e+01
2.959663000000000110e+01 2.859000000000000000e+03 2.832459358481707113e+03 2.654064151829288676e+01
2.961335000000000051e+01 2.901000000000000000e+03 2.831744031143954544e+03 6.925596885604545605e+01
2.963006000000000029e+01 2.879000000000000000e+03 2.831201187579129055e+03 4.779881242087094506e+01
2.964677000000000007e+01 2.808000000000000000e+03 2.830840805552798429e+03 -2.284080555279842883e+01
2.966347999999999985e+01 2.857000000000000000e+03 2.830674548453307580e+03 2.632545154669242038e+01
