# 2theta y_obs y_calc y_diff
8.005670000000000286e+00 3.801000000000000000e+03 3.802085591379636753e+03 -1.085591379636753118e+00
8.022380000000000067e+00 3.767000000000000000e+03 3.803575377402916729e+03 -3.657537740291672890e+01
8.039099999999999469e+00 3.844000000000000000e+03 3.805187320224533323e+03 3.881267977546667680e+01
8.055809999999999249e+00 3.831000000000000000e+03 3.806823789073959688e+03 2.417621092604031219e+01
8.072520000000000806e+00 3.902000000000000000e+03 3.808373462012866639e+03 9.362653798713336073e+01
8.089230000000000587e+00 3.791000000000000000e+03 3.809710178348297177e+03 -1.871017834829717685e+01
8.105940000000000367e+00 3.822000000000000000e+03 3.810697712214417152e+03 1.130228778558284830e+01
8.122650000000000148e+00 3.718000000000000000e+03 3.811194949266330241e+03 -9.319494926633024079e+01
8.139359999999999928e+00 3.822000000000000000e+03 3.811062491807851529e+03 1.093750819214847070e+01
8.156069999999999709e+00 3.774000000000000000e+03 3.810170475073321995e+03 -3.617047507332199530e+01
8.172790000000000887e+00 3.853000000000000000e+03 3.808405863682304243e+03 4.459413631769575659e+01
8.189500000000000668e+00 3.879000000000000000e+03 3.805686241352831075e+03 7.331375864716892465e+01
8.206210000000000448e+00 3.853000000000000000e+03 3.801962411093295032e+03 5.103758890670496839e+01
8.222920000000000229e+00 3.804000000000000000e+03 3.797229472265475124e+03 6.770527734524875996e+00
8.239630000000000010e+00 3.842000000000000000e+03 3.791530210683272799e+03 5.046978931672720137e+01
8.256339999999999790e+00 3.746000000000000000e+03 3.784954189752014372e+03 -3.895418975201437206e+01
8.273049999999999571e+00 3.815000000000000000e+03 3.777631108900133768e+03 3.736889109986623225e+01
8.289759999999999351e+00 3.758000000000000000e+03 3.769719565255135421e+03 -1.171956525513542147e+01
8.306480000000000530e+00 3.830000000000000000e+03 3.761388616247626032e+03 6.861138375237396758e+01
8.323190000000000310e+00 3.630000000000000000e+03 3.752825074594939451e+03 -1.228250745949394513e+02
8.339900000000000091e+00 3.655000000000000000e+03 3.744192716369163463e+03 -8.919271636916346324e+01
8.356609999999999872e+00 3.803000000000000000e+03 3.735644091059059974e+03 6.735590894094002579e+01
8.373319999999999652e+00 3.666000000000000000e+03 3.727310218402904866e+03 -6.131021840290486580e+01
8.390029999999999433e+00 3.775000000000000000e+03 3.719297334067536667e+03 5.570266593246333287e+01
