# HL2-1 extracted peaks (Cu Ka1 1.540596 A)
# 2theta_deg  d_Angstrom  I_rel
   11.1619    7.92061   0.0548
   13.9337    6.35061   0.0561
   16.6463    5.32136   0.2573
   17.4140    5.08845   0.0521
   21.6584    4.09990   0.0423
   22.1212    4.01516   0.0985
   22.5079    3.94706   0.0499
   23.9338    3.71503   0.0830
   26.2346    3.39420   0.0224
   26.7216    3.33344   0.0538
   29.6341    3.01211   0.0433
   30.9670    2.88543   0.0285
   32.2523    2.77331   0.0285
   32.7693    2.73074   0.0844
   33.3387    2.68539   0.1185
   34.0280    2.63255   0.1985
   34.5046    2.59727   0.0887
   34.9364    2.56615   0.0153
   35.8744    2.50117   0.0282
   36.1996    2.47945   0.0108
   37.5839    2.39125   0.5833
   39.3788    2.28629   0.7635
   40.9618    2.20151   0.0162
   41.9301    2.15288   0.0124
   42.7782    2.11214   0.0294
   43.5932    2.07453   1.0000
   44.9231    2.01615   0.0110
   45.4058    1.99583   0.0118
   45.7254    1.98262   0.0291
   48.4801    1.87621   0.0170
   49.7034    1.83286   0.0227
   50.1522    1.81750   0.0145
   51.1229    1.78525   0.0148
   51.4237    1.77551   0.0625
   52.1416    1.75274   0.0102
   52.5920    1.73879   0.0100
   53.2228    1.71966   0.0279
   54.1736    1.69170   0.0302
   55.2412    1.66150   0.0142
   55.8668    1.64437   0.1555
   56.5598    1.62586   0.0789
   56.9141    1.61658   0.0351
   57.4237    1.60344   0.1259
   58.8332    1.56834   0.0279
   59.5860    1.55031   0.0357
   59.9297    1.54224   0.0124
   60.3292    1.53298   0.0219
   60.9444    1.51897   0.0119
   61.8441    1.49901   0.0148
   63.1602    1.47090   0.4819
   66.3168    1.40834   0.0179
   67.0832    1.39410   0.0120
   67.4585    1.38725   0.0650
   68.1220    1.37535   0.0456
   69.4813    1.35173   0.0329
   70.4395    1.33567   0.0103
   71.1417    1.32420   0.0646
   72.1760    1.30775   0.0491
   72.9291    1.29609   0.0114
   73.9494    1.28071   0.0179
   75.6553    1.25601   0.1926
   77.1838    1.23491   0.0103
   78.3617    1.21927   0.0101
   79.6129    1.20322   0.1391
   79.8133    1.20070   0.0135
   81.2114    1.18353   0.0143
   81.3929    1.18135   0.0104
   81.6885    1.17782   0.0121
   84.2041    1.14892   0.0366
   85.3815    1.13606   0.0118
   87.0900    1.11812   0.0176
   87.9173    1.10972   0.0143
   89.0895    1.09813   0.0103
   89.4035    1.09508   0.0104
