# 2theta y_obs y_calc y_diff
5.001170000000000115e+00 2.492000000000000000e+03 2.426686597620912835e+03 6.531340237908716517e+01
5.014300000000000423e+00 2.435000000000000000e+03 2.429298256820595270e+03 5.701743179404729744e+00
5.027429999999999843e+00 2.404000000000000000e+03 2.431896872380556488e+03 -2.789687238055648777e+01
5.040560000000000151e+00 2.395000000000000000e+03 2.434482581125273555e+03 -3.948258112527355479e+01
5.053689999999999571e+00 2.469000000000000000e+03 2.437055518681016110e+03 3.194448131898388965e+01
5.066819999999999879e+00 2.384000000000000000e+03 2.439615819483400173e+03 -5.561581948340017334e+01
5.079950000000000188e+00 2.553000000000000000e+03 2.442163616784889655e+03 1.108363832151103452e+02
5.093079999999999607e+00 2.503000000000000000e+03 2.444699042662283773e+03 5.830095733771622690e+01
5.106209999999999916e+00 2.451000000000000000e+03 2.447222228024153083e+03 3.777771975846917485e+00
5.119340000000000224e+00 2.485000000000000000e+03 2.449733302618245034e+03 3.526669738175496605e+01
5.132469999999999644e+00 2.446000000000000000e+03 2.452232395038857703e+03 -6.232395038857703184e+00
5.145599999999999952e+00 2.527000000000000000e+03 2.454719632734173047e+03 7.228036726582695337e+01
5.158730000000000260e+00 2.579000000000000000e+03 2.457195142013556961e+03 1.218048579864430394e+02
5.171859999999999680e+00 2.458000000000000000e+03 2.459659048054824325e+03 -1.659048054824324936e+00
5.184989999999999988e+00 2.530000000000000000e+03 2.462111474911474943e+03 6.788852508852505707e+01
5.198120000000000296e+00 2.512000000000000000e+03 2.464552545519879459e+03 4.744745448012054112e+01
5.211249999999999716e+00 2.530000000000000000e+03 2.466982381706458455e+03 6.301761829354154543e+01
5.224380000000000024e+00 2.458000000000000000e+03 2.469401104194784693e+03 -1.140110419478469339e+01
5.237510000000000332e+00 2.498000000000000000e+03 2.471808832612702645e+03 2.619116738729735516e+01
5.250639999999999752e+00 2.513000000000000000e+03 2.474205685499367974e+03 3.879431450063202647e+01
5.263770000000000060e+00 2.563000000000000000e+03 2.476591780312282481e+03 8.640821968771751926e+01
5.276900000000000368e+00 2.569000000000000000e+03 2.478967233434283116e+03 9.003276656571688363e+01
5.290029999999999788e+00 2.411000000000000000e+03 2.481332160180499159e+03 -7.033216018049915874e+01
5.303160000000000096e+00 2.466000000000000000e+03 2.483686674805275743e+03 -1.768667480527574298e+01
5.316290000000000404e+00 2.497000000000000000e+03 2.486030890509063283e+03 1.096910949093671661e+01
5.329419999999999824e+00 2.547000000000000000e+03 2.488364919445278247e+03 5.863508055472175329e+01
5.342550000000000132e+00 2.471000000000000000e+03 2.490688872727126181e+03 -1.968887272712618142e+01
5.355680000000000440e+00 2.442000000000000000e+03 2.493002860434385639e+03 -5.100286043438563865e+01
5.368809999999999860e+00 2.451000000000000000e+03 2.495306991620175268e+03 -4.430699162017526760e+01
5.381940000000000168e+00 2.458000000000000000e+03 2.497601374317677710e+03 -3.960137431767770977e+01
5.395069999999999588e+00 2.564000000000000000e+03 2.499886115546821202e+03 6.411388445317879814e+01
