# 2theta y_obs y_calc y_diff
2.084000000000000075e+00 4.229000000000000000e+04 4.081537736963696807e+04 1.474622630363031931e+03
2.088000000000000078e+00 4.279900000000000000e+04 4.080625356174824265e+04 1.992746438251757354e+03
2.092000000000000082e+00 4.279900000000000000e+04 4.079707778285962559e+04 2.001922217140374414e+03
2.096000000000000085e+00 4.171100000000000000e+04 4.078785030741230730e+04 9.231496925876926980e+02
2.100000000000000089e+00 4.326800000000000000e+04 4.077857140904747212e+04 2.489428590952527884e+03
2.104000000000000092e+00 4.254700000000000000e+04 4.076924136060786259e+04 1.777758639392137411e+03
2.108000000000000096e+00 4.283100000000000000e+04 4.075986043413951847e+04 2.071139565860481525e+03
2.112000000000000099e+00 4.221700000000000000e+04 4.075042890089333378e+04 1.466571099106666225e+03
2.116000000000000103e+00 4.200300000000000000e+04 4.074094703132668656e+04 1.262052968673313444e+03
2.120000000000000107e+00 4.203300000000000000e+04 4.073141509510509786e+04 1.301584904894902138e+03
2.124000000000000110e+00 4.296600000000000000e+04 4.072183336110383243e+04 2.244166638896167569e+03
2.128000000000000114e+00 4.254400000000000000e+04 4.071220209740957944e+04 1.831797902590420563e+03
2.132000000000000117e+00 4.189900000000000000e+04 4.070252157132190769e+04 1.196478428678092314e+03
2.136000000000000121e+00 4.215200000000000000e+04 4.069279204935511370e+04 1.459207950644886296e+03
2.140000000000000124e+00 4.129400000000000000e+04 4.068301379723966238e+04 6.109862027603376191e+02
2.144000000000000128e+00 4.153350000000000000e+04 4.067318707992385316e+04 8.603129200761468383e+02
2.148000000000000131e+00 4.120200000000000000e+04 4.066331216157538438e+04 5.386878384246156202e+02
2.152000000000000135e+00 4.259300000000000000e+04 4.065338930558312131e+04 1.939610694416878687e+03
2.160000000000000142e+00 4.165800000000000000e+04 4.063340083033707924e+04 1.024599169662920758e+03
2.164000000000000146e+00 4.150900000000000000e+04 4.062333573398058070e+04 8.856642660194193013e+02
2.168000000000000149e+00 4.137600000000000000e+04 4.061322374577792652e+04 7.627762542220734758e+02
2.172000000000000153e+00 4.245100000000000000e+04 4.060306512524713617e+04 1.847934874752863834e+03
2.176000000000000156e+00 4.193000000000000000e+04 4.059286013113689114e+04 1.337139868863108859e+03
2.180000000000000160e+00 4.079800000000000000e+04 4.058260902142807754e+04 2.153909785719224601e+02
2.184000000000000163e+00 4.209400000000000000e+04 4.057231205333540129e+04 1.521687946664598712e+03
2.188000000000000167e+00 4.274000000000000000e+04 4.056196948330894520e+04 2.178030516691054800e+03
2.192000000000000171e+00 4.151600000000000000e+04 4.055158156703576242e+04 9.644184329642375815e+02
2.196000000000000174e+00 4.130300000000000000e+04 4.054114855944149167e+04 7.618514405585083296e+02
2.200000000000000178e+00 4.212400000000000000e+04 4.053067071469182702e+04 1.593329285308172985e+03
2.204000000000000181e+00 4.097100000000000000e+04 4.052014828619427863e+04 4.508517138057213742e+02
2.208000000000000185e+00 4.233600000000000000e+04 4.050958152659948246e+04 1.826418473400517541e+03
2.212000000000000188e+00 4.247300000000000000e+04 4.049897068780305563e+04 1.974029312196944375e+03
2.216000000000000192e+00 4.141900000000000000e+04 4.048831602094697155e+04 9.306839790530284517e+02
2.220000000000000195e+00 4.130100000000000000e+04 4.047761777642116067e+04 8.233822235788393300e+02
2.224000000000000199e+00 4.129900000000000000e+04 4.046687620386509661e+04 8.321237961349033867e+02
2.228000000000000203e+00 4.118600000000000000e+04 4.045609155216935324e+04 7.299084478306467645e+02
2.232000000000000206e+00 4.073500000000000000e+04 4.044526406947716896e+04 2.897359305228310404e+02
2.236000000000000210e+00 4.119100000000000000e+04 4.043439400318600383e+04 7.566059968139961711e+02
2.240000000000000213e+00 4.187500000000000000e+04 4.042348159994900925e+04 1.451518400050990749e+03
2.244000000000000217e+00 4.055900000000000000e+04 4.041252710567671602e+04 1.464728943232839811e+02
2.248000000000000220e+00 4.141900000000000000e+04 4.040153076553847495e+04 1.017469234461525048e+03
2.251999999999999780e+00 4.094700000000000000e+04 4.039049282396405033e+04 5.565071760359496693e+02
2.255999999999999783e+00 4.097800000000000000e+04 4.037941352464514785e+04 5.985864753548521549e+02
2.259999999999999787e+00 4.027600000000000000e+04 4.036829311053697893e+04 -9.229311053697892930e+01
2.263999999999999790e+00 4.101850000000000000e+04 4.035713182385970140e+04 6.613681761402986012e+02
2.267999999999999794e+00 4.145600000000000000e+04 4.034592990610012203e+04 1.110070093899877975e+03
2.271999999999999797e+00 4.072200000000000000e+04 4.033468759801306442e+04 3.873124019869355834e+02
2.275999999999999801e+00 4.104800000000000000e+04 4.032340513962301338e+04 7.245948603769866168e+02
2.279999999999999805e+00 4.031200000000000000e+04 4.031208277022559196e+04 -8.277022559195756912e-02
2.283999999999999808e+00 4.075700000000000000e+04 4.030072072838909662e+04 4.562792716109033790e+02
2.287999999999999812e+00 4.018800000000000000e+04 4.028931925195602525e+04 -1.013192519560252549e+02
2.291999999999999815e+00 4.097900000000000000e+04 4.027787857804457599e+04 7.011214219554240117e+02
2.295999999999999819e+00 4.093900000000000000e+04 4.026639894305018970e+04 6.726010569498102996e+02
2.299999999999999822e+00 4.051300000000000000e+04 4.025488058264703432e+04 2.581194173529656837e+02
