# 2theta y_obs y_calc y_diff
1.500769999999999982e+01 3.091000000000000000e+03 3.064041930571625471e+03 2.695806942837452880e+01
1.502440999999999960e+01 3.096000000000000000e+03 3.064031590334411703e+03 3.196840966558829678e+01
1.504111999999999938e+01 3.083000000000000000e+03 3.063991679781827315e+03 1.900832021817268469e+01
1.505782999999999916e+01 3.121000000000000000e+03 3.063922818602837651e+03 5.707718139716234873e+01
1.507454000000000072e+01 3.047000000000000000e+03 3.063825619294217177e+03 -1.682561929421717650e+01
1.509125000000000050e+01 3.106000000000000000e+03 3.063700687216585266e+03 4.229931278341473444e+01
1.510796000000000028e+01 3.115000000000000000e+03 3.063548620650127759e+03 5.145137934987224071e+01
1.512467000000000006e+01 3.030000000000000000e+03 3.063370010849984283e+03 -3.337001084998428269e+01
1.514138999999999946e+01 3.083000000000000000e+03 3.063165312021867521e+03 1.983468797813247875e+01
1.515809999999999924e+01 3.011000000000000000e+03 3.062935346676714744e+03 -5.193534667671474381e+01
1.517481000000000080e+01 3.011000000000000000e+03 3.062680570601590262e+03 -5.168057060159026150e+01
1.519152000000000058e+01 3.011000000000000000e+03 3.062401547494982424e+03 -5.140154749498242381e+01
1.520823000000000036e+01 2.989000000000000000e+03 3.062098834302571504e+03 -7.309883430257150394e+01
1.522494000000000014e+01 3.086000000000000000e+03 3.061772981270722084e+03 2.422701872927791555e+01
1.524164999999999992e+01 3.114000000000000000e+03 3.061424531999668034e+03 5.257546800033196632e+01
1.525835999999999970e+01 3.068000000000000000e+03 3.061054023496381433e+03 6.945976503618567222e+00
1.527508000000000088e+01 3.138000000000000000e+03 3.060661745273975612e+03 7.733825472602438822e+01
1.529179000000000066e+01 3.073000000000000000e+03 3.060248690802013243e+03 1.275130919798675677e+01
1.530850000000000044e+01 3.023000000000000000e+03 3.059815149391077284e+03 -3.681514939107728424e+01
1.532521000000000022e+01 3.063000000000000000e+03 3.059361632193853893e+03 3.638367806146106886e+00
1.534192000000000000e+01 3.230000000000000000e+03 3.058888644029557327e+03 1.711113559704426734e+02
1.535862999999999978e+01 3.042000000000000000e+03 3.058396683434960323e+03 -1.639668343496032321e+01
1.537533999999999956e+01 3.081000000000000000e+03 3.057886242715137541e+03 2.311375728486245862e+01
1.539204999999999934e+01 3.106000000000000000e+03 3.057357807993899769e+03 4.864219200610023108e+01
1.540877000000000052e+01 3.107000000000000000e+03 3.056811527395378107e+03 5.018847260462189297e+01
1.542548000000000030e+01 3.074000000000000000e+03 3.056248528511232962e+03 1.775147148876703795e+01
1.544219000000000008e+01 3.145000000000000000e+03 3.055668957687652437e+03 8.933104231234756298e+01
1.545889999999999986e+01 3.037000000000000000e+03 3.055073276818269733e+03 -1.807327681826973276e+01
1.547560999999999964e+01 3.022000000000000000e+03 3.054461941863233278e+03 -3.246194186323327813e+01
1.549231999999999942e+01 3.009000000000000000e+03 3.053835402897874701e+03 -4.483540289787470101e+01
1.550902999999999921e+01 3.076000000000000000e+03 3.053194104161084852e+03 2.280589583891514849e+01
1.552574000000000076e+01 3.068000000000000000e+03 3.052538484103408337e+03 1.546151589659166348e+01
1.554246000000000016e+01 3.017000000000000000e+03 3.051868570698646636e+03 -3.486857069864663572e+01
1.555916999999999994e+01 3.000000000000000000e+03 3.051185592506885314e+03 -5.118559250688531392e+01
1.557587999999999973e+01 2.887000000000000000e+03 3.050489574342880132e+03 -1.634895743428801325e+02
1.559258999999999951e+01 3.078000000000000000e+03 3.049780931975628846e+03 2.821906802437115402e+01
1.560929999999999929e+01 3.137000000000000000e+03 3.049060075621979649e+03 8.793992437802035056e+01
1.562601000000000084e+01 3.066000000000000000e+03 3.048327409993014498e+03 1.767259000698550153e+01
1.564272000000000062e+01 2.992000000000000000e+03 3.047583334340157762e+03 -5.558333434015776220e+01
1.565943000000000040e+01 3.033000000000000000e+03 3.046828242500999295e+03 -1.382824250099929486e+01
1.567614999999999981e+01 3.028000000000000000e+03 3.046062061599357548e+03 -1.806206159935754840e+01
1.569285999999999959e+01 3.099000000000000000e+03 3.045286091455380756e+03 5.371390854461924391e+01
1.570956999999999937e+01 3.023000000000000000e+03 3.044500254833581039e+03 -2.150025483358103884e+01
1.572627999999999915e+01 2.916000000000000000e+03 3.043704924365859370e+03 -1.277049243658593696e+02
1.574299000000000071e+01 3.006000000000000000e+03 3.042900467495318480e+03 -3.690046749531848036e+01
1.575970000000000049e+01 3.140000000000000000e+03 3.042087246520451117e+03 9.791275347954888275e+01
1.577641000000000027e+01 3.129000000000000000e+03 3.041265618639051354e+03 8.773438136094864603e+01
1.579312000000000005e+01 3.152000000000000000e+03 3.040435935991858969e+03 1.115640640081410311e+02
1.580983999999999945e+01 3.029000000000000000e+03 3.039598042335598620e+03 -1.059804233559862041e+01
1.582654999999999923e+01 3.057000000000000000e+03 3.038753282261096047e+03 1.824671773890395343e+01
1.584326000000000079e+01 3.012000000000000000e+03 3.037901494133524466e+03 -2.590149413352446572e+01
1.585997000000000057e+01 2.951000000000000000e+03 3.037043010293652515e+03 -8.604301029365251452e+01
1.587668000000000035e+01 2.977000000000000000e+03 3.036178158239467848e+03 -5.917815823946784803e+01
1.589339000000000013e+01 3.016000000000000000e+03 3.035307260668251729e+03 -1.930726066825172893e+01
1.591009999999999991e+01 2.955000000000000000e+03 3.034430635518375766e+03 -7.943063551837576597e+01
1.592680999999999969e+01 3.120000000000000000e+03 3.033548596010844449e+03 8.645140398915555124e+01
1.594353000000000087e+01 3.054000000000000000e+03 3.032660918315976687e+03 2.133908168402331285e+01
1.596024000000000065e+01 3.015000000000000000e+03 3.031768968309285810e+03 -1.676896830928581039e+01
1.597695000000000043e+01 3.006000000000000000e+03 3.030872515893130640e+03 -2.487251589313063960e+01
1.599366000000000021e+01 2.986000000000000000e+03 3.029971855826672709e+03 -4.397185582667270864e+01
1.601037000000000177e+01 3.019000000000000000e+03 3.029067278355624239e+03 -1.006727835562423934e+01
1.602708000000000155e+01 2.978000000000000000e+03 3.028159069252263180e+03 -5.015906925226317981e+01
1.604379000000000133e+01 3.068000000000000000e+03 3.027247509855211774e+03 4.075249014478822573e+01
1.606051000000000073e+01 3.106000000000000000e+03 3.026332328886905088e+03 7.966767111309491156e+01
1.607722000000000051e+01 3.030000000000000000e+03 3.025414893785693494e+03 4.585106214306506445e+00
1.609393000000000029e+01 2.996000000000000000e+03 3.024494926357913755e+03 -2.849492635791375506e+01
1.611064000000000007e+01 2.903000000000000000e+03 3.023572690597728524e+03 -1.205726905977285242e+02
1.612734999999999985e+01 3.057000000000000000e+03 3.022648446260800029e+03 3.435155373919997146e+01
1.614405999999999963e+01 2.956000000000000000e+03 3.021722448902580709e+03 -6.572244890258070882e+01
1.616076999999999941e+01 2.932000000000000000e+03 3.020794949916370570e+03 -8.879494991637056955e+01
1.617747999999999919e+01 3.014000000000000000e+03 3.019866196571125784e+03 -5.866196571125783521e+00
1.619419999999999860e+01 2.997000000000000000e+03 3.018935875382182530e+03 -2.193587538218253030e+01
1.621090999999999838e+01 3.028000000000000000e+03 3.018005338424736692e+03 9.994661575263307896e+00
1.622762000000000171e+01 2.917000000000000000e+03 3.017074264683088586e+03 -1.000742646830885860e+02
1.624433000000000149e+01 3.014000000000000000e+03 3.016142885299780119e+03 -2.142885299780118658e+00
1.626104000000000127e+01 3.003000000000000000e+03 3.015211427478517635e+03 -1.221142747851763488e+01
1.627775000000000105e+01 2.993000000000000000e+03 3.014280114520554889e+03 -2.128011452055488917e+01
1.629446000000000083e+01 3.047000000000000000e+03 3.013349165860857738e+03 3.365083413914226185e+01
1.631117000000000061e+01 3.023000000000000000e+03 3.012418797104025998e+03 1.058120289597400188e+01
1.632789000000000001e+01 3.037000000000000000e+03 3.011488664038907245e+03 2.551133596109275459e+01
1.634459999999999980e+01 2.943000000000000000e+03 3.010560087418237799e+03 -6.756008741823779928e+01
1.636130999999999958e+01 2.956000000000000000e+03 3.009632715009013737e+03 -5.363271500901373656e+01
1.637801999999999936e+01 2.972000000000000000e+03 3.008706747446839927e+03 -3.670674744683992685e+01
1.639472999999999914e+01 3.037000000000000000e+03 3.007782381713165705e+03 2.921761828683429485e+01
1.641143999999999892e+01 2.962000000000000000e+03 3.006859811169847490e+03 -4.485981116984748951e+01
1.642814999999999870e+01 3.050000000000000000e+03 3.005939225593482206e+03 4.406077440651779398e+01
1.644485999999999848e+01 3.040000000000000000e+03 3.005020811209521526e+03 3.497918879047847440e+01
1.646158000000000143e+01 2.944000000000000000e+03 3.004104203255930315e+03 -6.010420325593031521e+01
1.647829000000000121e+01 3.120000000000000000e+03 3.003190677466663601e+03 1.168093225333363989e+02
1.649500000000000099e+01 2.946000000000000000e+03 3.002279860681223909e+03 -5.627986068122390861e+01
1.651171000000000078e+01 3.021000000000000000e+03 3.001371925255131373e+03 1.962807474486862702e+01
1.652842000000000056e+01 3.028000000000000000e+03 3.000467040160028773e+03 2.753295983997122676e+01
1.654513000000000034e+01 3.034000000000000000e+03 2.999565371016485187e+03 3.443462898351481272e+01
1.656184000000000012e+01 3.117000000000000000e+03 2.998667080126564542e+03 1.183329198734354577e+02
1.657854999999999990e+01 3.042000000000000000e+03 2.997772326506207264e+03 4.422767349379273583e+01
1.659526999999999930e+01 3.010000000000000000e+03 2.996880733803779094e+03 1.311926619622090584e+01
1.661197999999999908e+01 2.945000000000000000e+03 2.995993521132774276e+03 -5.099352113277427634e+01
1.662868999999999886e+01 2.973000000000000000e+03 2.995110303471256884e+03 -2.211030347125688422e+01
1.664539999999999864e+01 3.064000000000000000e+03 2.994231227008169753e+03 6.976877299183024661e+01
1.666210999999999842e+01 2.990000000000000000e+03 2.993356434805002664e+03 -3.356434805002663779e+00
1.667882000000000176e+01 3.035000000000000000e+03 2.992486066826887964e+03 4.251393317311203646e+01
1.669553000000000154e+01 2.970000000000000000e+03 2.991620259973494740e+03 -2.162025997349473982e+01
1.671224000000000132e+01 2.975000000000000000e+03 2.990759148109719717e+03 -1.575914810971971747e+01
1.672896000000000072e+01 2.939000000000000000e+03 2.989902351127452221e+03 -5.090235112745222068e+01
1.674567000000000050e+01 2.935000000000000000e+03 2.989051021852963004e+03 -5.405102185296300377e+01
1.676238000000000028e+01 2.939000000000000000e+03 2.988204771331858410e+03 -4.920477133185841012e+01
1.677909000000000006e+01 3.085000000000000000e+03 2.987363721591013473e+03 9.763627840898652721e+01
1.679579999999999984e+01 2.895000000000000000e+03 2.986527991772927180e+03 -9.152799177292718014e+01
1.681250999999999962e+01 2.927000000000000000e+03 2.985697698165210113e+03 -5.869769816521011307e+01
1.682921999999999940e+01 2.920000000000000000e+03 2.984872954229850166e+03 -6.487295422985016558e+01
1.684592999999999918e+01 3.001000000000000000e+03 2.984053870632289090e+03 1.694612936771090972e+01
1.686264999999999858e+01 2.938000000000000000e+03 2.983240070294715679e+03 -4.524007029471567876e+01
1.687935999999999837e+01 2.883000000000000000e+03 2.982432631872937691e+03 -9.943263187293769079e+01
1.689607000000000170e+01 2.949000000000000000e+03 2.981631169354329813e+03 -3.263116935432981336e+01
1.691278000000000148e+01 3.058000000000000000e+03 2.980835782503385417e+03 7.716421749661458307e+01
1.692949000000000126e+01 3.070000000000000000e+03 2.980046568430517254e+03 8.995343156948274554e+01
1.694620000000000104e+01 2.974000000000000000e+03 2.979263621619957121e+03 -5.263621619957120856e+00
1.696291000000000082e+01 2.956000000000000000e+03 2.978487033957474978e+03 -2.248703395747497780e+01
1.697962000000000060e+01 3.034000000000000000e+03 2.977716894757904356e+03 5.628310524209564392e+01
1.699634000000000000e+01 2.885000000000000000e+03 2.976952835791835696e+03 -9.195283579183569600e+01
1.701304999999999978e+01 3.029000000000000000e+03 2.976195855301461052e+03 5.280414469853894843e+01
1.702975999999999956e+01 2.919000000000000000e+03 2.975445576113501374e+03 -5.644557611350137449e+01
1.704646999999999935e+01 2.891000000000000000e+03 2.974702077529068447e+03 -8.370207752906844689e+01
1.706317999999999913e+01 3.019000000000000000e+03 2.973965436413162479e+03 4.503456358683752114e+01
1.707988999999999891e+01 3.056000000000000000e+03 2.973235727221076559e+03 8.276427277892344136e+01
1.709659999999999869e+01 3.027000000000000000e+03 2.972513022024617385e+03 5.448697797538261511e+01
1.711332000000000164e+01 2.997000000000000000e+03 2.971796964404186838e+03 2.520303559581316222e+01
1.713003000000000142e+01 2.951000000000000000e+03 2.971088478303716784e+03 -2.008847830371678356e+01
1.714674000000000120e+01 2.970000000000000000e+03 2.970387198411097870e+03 -3.871984110978701210e-01
1.716345000000000098e+01 2.906000000000000000e+03 2.969693187521392701e+03 -6.369318752139270146e+01
1.718016000000000076e+01 2.897000000000000000e+03 2.969006506174572678e+03 -7.200650617457267799e+01
1.719687000000000054e+01 2.997000000000000000e+03 2.968327212680652337e+03 2.867278731934766256e+01
1.721358000000000033e+01 3.082000000000000000e+03 2.967655363144649982e+03 1.143446368553500179e+02
1.723029000000000011e+01 3.033000000000000000e+03 2.966991011491372774e+03 6.600898850862722611e+01
1.724700999999999951e+01 2.940000000000000000e+03 2.966333818701167274e+03 -2.633381870116727441e+01
1.726371999999999929e+01 3.023000000000000000e+03 2.965684620551970056e+03 5.731537944802994389e+01
1.728042999999999907e+01 2.920000000000000000e+03 2.965043069251680663e+03 -4.504306925168066300e+01
1.729713999999999885e+01 3.013000000000000000e+03 2.964409210247359624e+03 4.859078975264037581e+01
1.731384999999999863e+01 2.977000000000000000e+03 2.963783086927180193e+03 1.321691307281980698e+01
1.733055999999999841e+01 2.943000000000000000e+03 2.963164740644167978e+03 -2.016474064416797773e+01
1.734727000000000174e+01 2.878000000000000000e+03 2.962554210739770951e+03 -8.455421073977095148e+01
1.736398000000000152e+01 2.892000000000000000e+03 2.961951534567274393e+03 -6.995153456727439334e+01
